_@,@_ /@/ uh (long)
_@`,@`_ /@`/ er (long)
_A,A_ /A/ ah (long)
_E,E_ /E/ E (long)
_I,I_ /I/ ee (long)
_OI,OI_ /OI/ oy (long "o," short "y")
_U,U_ /U/ "oo" in "book" (long)
_aI,aI_ /aI/ aye (long "a", short "ye")
_aU,aU_ /aU/ ow (long "o", short "w")
_eI,eI_ /eI/ ey (long "e", short "y")
_i,i_ /i/ ee (long)
_oU,oU_ /oU/ oh (long, short "w" at end)
_u,u_ /u/ ooh (long)
_{},{}_ /{}/ "a" in "after" (long)

@D /@D@`/ other
@N /m@N/ mung
@S /l@S/ lush
@b /k@b/ cub
@d /m@d/ mud
@dZ /f@dZ/ fudge
@f /in@f/ enough
@g /l@g/ lug
@j /k{}b@jEroU/ caballero
@k /m@k/ muck
@l /m@l/ mull
@m /r@m/ rum
@n /r@n/ run
@p /@ph@ld/ uphold
@r /k@rin/ careen
@s /k@s/ cuss
@t /k@t/ cut
@tS /kl@tS/ clutch
@v /l@v/ love
@w /@weI/ away
@z /bik@z/ because
@`S /h@`S/ Hearsch
@`T /@`T/ earth
@`b /k@`b/ curb
@`d /k@`d/ curd
@`dZ /@`dZ/ urge
@`f /k@`fju/ curfew
@`g /b@`g@`/ burger
@`k /m@`k/ murk
@`l /k@`l/ curl
@`m /t@`m/ term
@`n /b@`n/ burn
@`p /b@`p/ burp
@`s /k@`s/ curse
@`t /h@`t/ hurt
@`tS /l@`tS/ lurch
@`v /k@`v/ curve
@`z /b@`z/ burs
AD /bAD@`/ bother
AN /lAN/ long
AS /gAS/ gosh
AT /gAT/ goth
Ab /lAb/ lob
Ad /gAd/ god
AdZ /lAdZ/ lodge
Af /kAf/ cough
Ag /kAg/ cog
Ak /lAk/ lock
Al /bAl/ ball
Am /mAm/ mom
An /dAn/ Don
Ap /hAp/ hop
Ar /kAr/ car
As /mAs/ moss
At /kAt/ caught
AtS /nAtS/ notch
Av /mAv/ mauve
Az /Az/ Oz
D@ /D@/ the (pr. "thuh")
D@`,@D /m@D@`/ mother
DE,_D /DEn/ then
DI /DIs/ this
D_ /loUD/ loathe
DaU /DaU/ thou
Di /Di/ thee
DoU /DoU/ though
D{} /D{}t/ that
ES /mES/ mesh
ET /bET/ Beth
Eb /Eb/ ebb
Ed /bEd/ bed
EdZ /EdZ/ edge
Ef /dZEf/ Jeff
Eg /Eg/ egg
Ek /tSEk/ check
El /bEl/ bell
Em /dZEm/ gem
En /bEn/ Ben
Ep /stEp/ step
Er /Er@r/ error
Es /lEs/ less
Et /lEt/ let
EtS /EtS/ etch
Ev /dEv/ dev
Ez /fEz/ fez
ID /hID@`/ hither
IN,N_ /sIN/ sing
IS /dIS/ dish
IT /pITi/ pithy
Ib /nIb/ nib
Id /bId/ bid
IdZ /rIdZ/ ridge
If /If/ if
Ig /bIg/ big
Ik /lIk/ lick
Il /pIl/ pill
Im /dZIm/ Jim
In /bIn/ bin
Ip /lIp/ lip
Is /kIs/ kiss
It /lIt/ lit
ItS /stItS/ stitch
Iv /gIv/ give
Iz /lIz/ Liz
NI /sININ/ singing
Nd /pINd/ pinged
Nz /sINz/ sings
Ng /j@Ng@`/ younger
OIN /bOIN/ boing
OIb /fOIb@l/ foible
OId /drOId/ droid
OIl /OIl/ oil
OIn /lOIn/ loin
OIs /rOIs/ Royce
OIt /@drOIt/ adroit
OIz,bOI /bOIz/ boys
S@ /S@nt/ shunt
S@` /S@`/ sure
SA /SAk/ shock
SE /SEp@`d/ shepherd
SI /SIp/ ship
SU /SUk/ shook
S_ /liS/ leash
SaI /SaI/ shy
SaU,_S,aUw /SaUw@`/ shower
SeI /SeI/ Shay
Si /Sin/ sheen
SoU /SoU/ show
Sr /SraIn/ shrine
Su /Su/ shoe
S{} /S{}k/ shack
T@ /T@nd@`/ thunder
T@` /T@`d/ third
TA /TA/ thaw
TE /EpITEt/ epithet
TI /TIn/ thin
T_ /wIT/ with
TaI,_T /TaI/ thigh
Ti /Tij@d@`/ theater
US /pUS/ push
Ud /wUd/ wood
Uk /lUk/ look
Ut /rUt/ root ("oo" as in "book")
Z@` /meZ@`/ measure
Z_ /m@sAZ/ massage
_Z /Z@/ je (French, soft "j")
_b,bA /bAg/ bog
_d /dAg/ dog
_dZ /jAb/ job
_f /fAD@`/ father
_g /gAd/ god
_h /hAt/ hot
_j /yAn/ yawn
_k /kAf/ caugh
_l,g_ /lAg/ log
_m,m_ /mAm/ mom
_n,n_ /nAn/ naan
_p /pA/ paw
_r /rA/ rah
_s /sAk/ sock
_t,t_ /tAt/ tot
_tS /tSak/ chalk
_v /vAnz/ Vons
_w /wAd@`/ water
_z /zoUwi/ Zoe
aID /laID/ lithe
aIb /vaIb/ vibe
gaI,aId /gaId/ guide
aIdZ /@blaIdZ/ oblige
aIf /waIf/ wife
aIg /aIgu/ aigu ("eye goo")
aIj /baIj@`/ buyer
aIk /laIk/ like
